Name of the Product,Brand Name,Product Type,Selling Price (INR),Original Price (INR),Size (Inch),Size (cm),Resolution,Discount (%),Bank Offer,Limited Time Deal
"Redmi 81.28 cm (32 inch) Smart Fire TV, Black, ELA5577IN, 2024",Redmi,Television,10490,24999,32,81.28,HD READY,58,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"Foxsky 80 cm (32 inch) HD Ready LED Smart TV, 2K Series 32FS ELS PRO",Foxsky,Television,6999,20999,32,80,HD READY,66,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
Samsung wondertainment 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design (UA32T4380) - Latest Edition,Samsung,Television,14490,18990,32,80,HD READY,23,Limited Offer Price,Limited Time Deal
"Samsung 108 cm (43 Inch) 4K Ultra HD Smart TV (UA43DUE70BKLXL, Black)",Samsung,Television,28990,44900,43,108,4K,35,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"LG 139.7 cm (55 inch) Ultra HD (4K) LED Smart TV, 55UQ8020PSB",LG,Television,41990,86990,55,139.7,4K,51,Limited Offer Price,Limited Time Deal
"Foxsky 109 cm (43 Inch) Full HD Smart LED TV, 43FSFHS",Foxsky,Television,13499,39499,43,109,FULL HD,65,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"Xiaomi A Series 81.28 cm (32 inches) HD Ready Smart Google TV, L32MA-AIN",Xiaomi,Television,11990,24999,32,81.28,HD READY,52,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"NVY 109 cm (43 inch) QLED Smart TV, NVQ43SFR1, Black",NVY,Television,14490,45999,43,109,Not Mentioned,68,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"NVY 80 cm (32 inch) QLED Smart TV, NVQ32SFR1, Black",NVY,Television,8499,23999,32,80,HD READY,64,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"LG 80 cm (32 inch) HD Ready LED Smart TV, 32LM560",LG,Television,13490,21990,32,80,HD READY,38,Limited Offer Price,Limited Time Deal
"Acer G plus Series 80.01 cm (32 inch) HD Ready LED Smart Google TV, AR32HDGGR2841AD, Black, 2024 Model",Acer,Television,11998,24999,32,80.01,HD READY,52,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"Sony BRAVIA 3 Series 139 cm (55 inches) 4K Ultra HD Smart LED Google TV, K-55S30, Black",Sony,Television,81831,129900,55,139,4K,37,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"BPL 80 cm (32 inch) Hometheatre Onkyo QLED TV with Dolby Audio, 32HE7542, Black",BPL,Television,13999,25990,32,80,HD READY,46,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"TCL 81.28 cm (32 inch) Full HD QLED Google TV, 32S5K",TCL,Television,15990,23990,32,81.28,FULL HD,33,Limited Offer Price,No Limited Time Deal
"TCL 109.22 cm (43 Inch) Full HD Android TV, 43S4500A, Black",TCL,Television,20990,45990,43,109.22,FULL HD,54,"Flat 12.5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"BPL 43Q 108 cm (43 inch) Home Theatre Onkyo QLED TV with Dolby Audio, 43UE7540",BPL,Television,30990,52990,43,108,Not Mentioned,41,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"Samsung 138 cm (55 Inch) 4K Ultra HD Smart TV (UA55DUE70BKLXL, Black)",Samsung,Television,41490,64900,55,138,4K,36,Limited Offer Price,Limited Time Deal
Sony Bravia 108 cm (43 inches) 4K Ultra HD Smart LED Google TV KD-43X64L (Black),Sony,Television,35990,59900,43,108,4K,39,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"TCL 139.7 cm (55 inch) UHD Google TV, 55P755 PRO, Black",TCL,Television,35990,80990,55,139.7,UHD,55,"Flat 12.5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"TCL 81.28 cm (32 inch) Full HD Android TV, 32S5500AF, Black",TCL,Television,11990,21990,32,81.28,FULL HD,45,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Samsung 109.2 cm (43 inch) FHD Smart LED TV Titan Black, 43T5450",Samsung,Television,23990,42400,43,109.2,FHD,43,Limited Offer Price,Limited Time Deal
"TCL 139.7 cm (55 inch) QLED Smart Google TV, 55C655, Black",TCL,Television,40989,121990,55,139.7,Not Mentioned,66,"Flat 12.5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Acer I PRO Series 80 cm (32 inches) HD Ready Smart LED Google TV, AR32HDIGU2841AT, Black, 2024 Model",Acer,Television,10999,22999,32,80,HD READY,52,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"Hisense 81.28 cm (32 inches) HD Smart Certified LED TV, 32A4N, Black",Hisense,Television,9999,24999,32,81.28,HD READY,60,No Bank Offer,Limited Time Deal
"LG QNED 139 cm (55 inch) 4K Smart TV, 55QNED83",LG,Television,72990,159990,55,139,4K,54,Limited Offer Price,Limited Time Deal
"Samsung 125 cm (50 Inch) 4K Ultra HD Smart TV (UA50DUE70BKLXL, Black)",Samsung,Television,39990,61900,50,125,4K,35,Limited Offer Price,Limited Time Deal
"LG 139.7 cm (55 inches) 4K Smart OLED TV, OLED55C4XLA, Black, 5 years OS upgrade",LG,Television,130490,230990,55,139.7,4K,43,"Flat 12.5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"TCL 81.28 cm (32 inch) HD QLED Google TV, 32S4K",TCL,Television,13990,20990,32,81.28,HD READY,33,Limited Offer Price,No Limited Time Deal
"Samsung 163 cm (65 Inch) 4K Ultra HD Smart TV (UA65DUE70BKLXL, Black)",Samsung,Television,61990,94900,65,163,4K,34,Limited Offer Price,Limited Time Deal
"Foxsky 139.7 cm (55 inch) 4K Ultra HD LED Smart Google TV with Dolby Audio, HDR10, 55FSGOOGLE QLED TV 2024",Foxsky,Television,26999,98990,55,139.7,4K,72,"Flat 12.5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"TCL 109.22 cm (43 Inch) Ultra HD (4K) Google TV, 43P755, Black",TCL,Television,25990,54990,43,109.22,4K,52,"Flat 12.5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Sony BRAVIA 3 Series 164 cm (65 inches) 4K Ultra HD Smart LED Google TV, K-65S30, Black",Sony,Television,96990,164900,65,164,4K,41,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"NVY 80 cm (32 inch) HD Ready Smart Frameless LED TV,NVA32SNR1, Black, 2023 Model",NVY,Television,7999,20990,32,80,HD READY,61,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Samsung 163 cm (65 Inch) 4K QLED Smart TV (QA65Q70DAULXL, Titan Gray)",Samsung,Television,106490,169900,65,163,4K,37,No Bank Offer,No Limited Time Deal
"BPL 138 cm (55 inch) 4K Home Theatre Onkyo TV with Dolby Audio, 55UE7340, Black",BPL,Television,38999,70990,55,138,4K,45,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Hisense 139 cm (55 Inch) 4K Ultra HD MiniLed LED TV, 55U7K, 2023 model with Full Array Local Dimming PRO",Hisense,Television,59999,109999,55,139,4K,45,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"LG 139.7 cm (55 inch) 4K Ultra HD TV, Ashed Blue, 55UT80506LA",LG,Television,54990,89990,55,139.7,4K,38,Limited Offer Price,Limited Time Deal
"Acer 139 cm (55 inches) Advanced I Series 4K Ultra HD Smart LED Google TV, AR55GR2851UDFL (Black)",Acer,Television,30998,59999,55,139,4K,48,No Bank Offer,No Limited Time Deal
"NVY 109 cm (43 Inch) FHD Smart Frameless LED TV, NVA43SFR1 (Black) (2023 Model)",NVY,Television,13999,35900,43,109,FHD,61,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Kodak 80 cm (32 inch) HD Ready LED Smart TV, 7XPRO Series 32HDX7XPRO, Quad Core Processor, Built-in Chromecast",Kodak,Television,9499,10499,32,80,HD READY,9,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"Xiaomi A Series 108 cm (43 inches) Full HD Google TV, ELA5579IN 2024",Xiaomi,Television,22990,39999,43,108,FULL HD,42,No Bank Offer,Limited Time Deal
"Hisense 101.6 cm (40 inches) Full HD Smart Certified LED TV, 40A4N, Black",Hisense,Television,16990,34999,40,101.6,FULL HD,51,No Bank Offer,Limited Time Deal
"LG 127 cm (50 inch) 4K Ultra HD TV, Ashed Blue, 50UT80506LA",LG,Television,49990,76990,50,127,4K,35,No Bank Offer,Limited Time Deal
"Samsung 138 cm (55 Inch) 4K QLED Smart TV (QA55Q60DAULXL, Black)",Samsung,Television,69990,95900,55,138,4K,27,No Bank Offer,Limited Time Deal
"NVY 109 cm (43 Inch) Smart 4K LED TV, NVA43SFR1P (Black)",NVY,Television,20499,40900,43,109,4K,49,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"IFFALCON by TCL 81.28 cm (32 Inches) HD Ready Smart Android LED TV With Dolby Audio, iFF32S53 2023 Model",IFFALCON,Television,11999,19990,32,81.28,HD READY,39,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
Sony Bravia 80 cm (32 inches) HD Ready Smart LED Google TV with Dolby Audio & Alexa Compatibility KD-32W820K (Black),Sony,Television,25990,34990,32,80,HD READY,25,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"LG 108 cm (43 inch) Ultra HD (4K) Smart LED TV, UQ80 Series 43UQ8020PSB",LG,Television,34990,59990,43,108,4K,41,No Bank Offer,Limited Time Deal
Hisense 108 cm (43 inch) 2Yr Warranty 4K Ultra HD Smart Google LED TV 43A6H (Black) (2022 model) with Dolby Vision and ATMOS,Hisense,Television,22999,44990,43,108,4K,48,No Bank Offer,No Limited Time Deal
"Samsung Wondertainment 80 cm (32 Inch) Smart HD Ready TV, UA32T4340BKXXL",Samsung,Television,14990,22900,32,80,HD READY,34,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
SAMSUNG Crystal 4K Pro 163 cm (65 inch) Ultra HD (4K) LED Smart TV with Voice Search (UA65AUE70AKLXL),SAMSUNG,Television,64990,125900,65,163,4K,48,No Bank Offer,Limited Time Deal
"Toshiba 80 cm (32 inch) HD Ready Vidaa OS Smart LED TV with ADS Panel and dbx-tv, 32L5050",Toshiba,Television,9990,18999,32,80,HD READY,47,No Bank Offer,No Limited Time Deal
SAMSUNG Crystal 4K Pro 125 cm (50 inch) Ultra HD (4K) LED Smart TV with Voice Search (UA50AUE70AKLXL),SAMSUNG,Television,34990,71400,50,125,4K,50,Limited Offer Price,Limited Time Deal
"Samsung 163 cm (65 Inch) 4K Neo-QLED Smart TV (QA65QN90DAULXL, Carbon Silver)",Samsung,Television,194990,249900,65,163,4K,21,Limited Offer Price,Limited Time Deal
"LG 81.28 cm (32 inches), HD LED Smart TV, Black, 32LR605B6LC",LG,Television,17990,20990,32,81.28,HD READY,14,Limited Offer Price,No Limited Time Deal
"Foxsky 109.22 cm (43 inch) 4K Smart WebOS LED TV Edition with A5 AI Processor and 60 Hz Refresh Rate, Magic remote capability, 43FSWEBOS 2024",Foxsky,Television,16998,47499,43,109.22,4K,64,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Samsung 108 cm (43 Inch) 4K Ultra HD Smart TV (UA43DU7660KLXL, Black)",Samsung,Television,39990,48900,43,108,4K,18,No Bank Offer,Limited Time Deal
"LG 109.22 cm (43 inches), UHD LED Smart TV, Black, 43UT73506LA",LG,Television,35990,58990,43,109.22,UHD,38,Limited Offer Price,No Limited Time Deal
"LG 81.28 cm (32 inch) HD Smart TV, 32LR686B6LA, Black",LG,Television,20990,28490,32,81.28,HD READY,26,No Bank Offer,No Limited Time Deal
Reconnect 109 cm (43 inch) FHD Smart Neo TV 43F4330S,Reconnect,Television,16989,39990,43,109,FHD,57,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"BPL 81 cm (32 inch) HD Home Theatre Onkyo TV with Dolby Audio, 32HE5341",BPL,Television,13999,25990,32,81,HD READY,46,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
TOSHIBA 108 cm (43 inch) V Series HD Ready Smart Android LED TV 43V35MP (Black),TOSHIBA,Television,19999,24999,43,108,HD READY,20,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Sony BRAVIA 80 cm (32 inches) HD Ready Smart LED Google TV, KD-32W835, Black",Sony,Television,26990,34900,32,80,HD READY,22,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"ONEPLUS 108 cm (43 inch) Full HD Smart LED TV, 43Y1",ONEPLUS,Television,24998,29990,43,108,FULL HD,16,Limited Offer Price,No Limited Time Deal
"Haier 80 cm (32 inch) QLED Google TV, 32S80",Haier,Television,16990,33990,32,80,HD READY,50,No Bank Offer,No Limited Time Deal
"TCL 190.5 cm (75 inch) Ultra HD (4K) Google TV, 75P755 PRO, Black",TCL,Television,69990,259990,75,190.5,4K,73,"Flat 12.5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
